word,type,condition,experiment,grouping
sterile,target,identity,one,one
gorilla,target,identity,one,one
applaud,target,identity,one,one
sprinkle,target,identity,one,one
residue,target,identity,one,one
proverb,target,identity,one,one
frantic,target,identity,one,one
harpoon,target,identity,one,one
placebo,target,identity,one,one
tabloid,target,identity,one,one
balcony,target,identity,one,one
stature,target,identity,one,one
cologne,target,identity,one,one
soprano,target,identity,one,one
blossom,target,identity,one,one
boulevard,target,identity,one,one
whistle,target,identity,one,one
intellect,target,identity,one,one
collide,target,nw-w_foil,one,one
hospice,target,nw-w_foil,one,one
grapple,target,nw-w_foil,one,one
tenure,target,nw-w_foil,one,one
dribble,target,nw-w_foil,one,one
stamina,target,nw-w_foil,one,one
sponge,target,nw-w_foil,one,one
bonsai,target,nw-w_foil,one,one
cuisine,target,nw-w_foil,one,one
whiskey,target,nw-w_foil,one,one
diploma,target,nw-w_foil,one,one
trickle,target,nw-w_foil,one,one
blight,target,nw-w_foil,one,one
nickel,target,nw-w_foil,one,one
shrimp,target,nw-w_foil,one,one
gamble,target,nw-w_foil,one,one
debacle,target,nw-w_foil,one,one
brittle,target,nw-w_foil,one,one
lattice,target,nw-w_foil,one,one
quibble,target,nw-w_foil,one,one
proctor,target,nw-w_foil,one,one
acclaim,target,nw-w_foil,one,one
spinach,target,nw-w_foil,one,one
cripple,target,nw-w_foil,one,one
expert,prime,stem-from-affix-conds,two,stems-from-aff
human,prime,stem-from-affix-conds,two,stems-from-aff
justice,prime,stem-from-affix-conds,two,stems-from-aff
firm,prime,stem-from-affix-conds,two,stems-from-aff
visible,prime,stem-from-affix-conds,two,stems-from-aff
large,prime,stem-from-affix-conds,two,stems-from-aff
credit,prime,stem-from-affix-conds,two,stems-from-aff
prove,prime,stem-from-affix-conds,two,stems-from-aff
mantle,prime,stem-from-affix-conds,two,stems-from-aff
claim,prime,stem-from-affix-conds,two,stems-from-aff
qualify,prime,stem-from-affix-conds,two,stems-from-aff
marry,prime,stem-from-affix-conds,two,stems-from-aff
cycle,prime,stem-from-affix-conds,two,stems-from-aff
touch,prime,stem-from-affix-conds,two,stems-from-aff
trace,prime,stem-from-affix-conds,two,stems-from-aff
build,prime,stem-from-affix-conds,two,stems-from-aff
paint,prime,stem-from-affix-conds,two,stems-from-aff
throne,prime,stem-from-affix-conds,two,stems-from-aff
bunk,prime,stem-from-affix-conds,two,stems-from-aff
spell,prime,stem-from-affix-conds,two,stems-from-aff
lead,prime,stem-from-affix-conds,two,stems-from-aff
TRUE,prime,stem-from-affix-conds,two,stems-from-aff
fair,prime,stem-from-affix-conds,two,stems-from-aff
even,prime,stem-from-affix-conds,two,stems-from-aff
fertile,target,stem-from-affix-conds,two,stems-from-aff
active,target,stem-from-affix-conds,two,stems-from-aff
sane,target,stem-from-affix-conds,two,stems-from-aff
secure,target,stem-from-affix-conds,two,stems-from-aff
decent,target,stem-from-affix-conds,two,stems-from-aff
close,target,stem-from-affix-conds,two,stems-from-aff
own,target,stem-from-affix-conds,two,stems-from-aff
comfort,target,stem-from-affix-conds,two,stems-from-aff
honor,target,stem-from-affix-conds,two,stems-from-aff
allow,target,stem-from-affix-conds,two,stems-from-aff
connect,target,stem-from-affix-conds,two,stems-from-aff
adjust,target,stem-from-affix-conds,two,stems-from-aff
name,target,stem-from-affix-conds,two,stems-from-aff
sale,target,stem-from-affix-conds,two,stems-from-aff
lice,target,stem-from-affix-conds,two,stems-from-aff
model,target,stem-from-affix-conds,two,stems-from-aff
furbish,target,stem-from-affix-conds,two,stems-from-aff
frost,target,stem-from-affix-conds,two,stems-from-aff
bud,target,stem-from-affix-conds,two,stems-from-aff
fortune,target,stem-from-affix-conds,two,stems-from-aff
match,target,stem-from-affix-conds,two,stems-from-aff
clear,target,stem-from-affix-conds,two,stems-from-aff
common,target,stem-from-affix-conds,two,stems-from-aff
usual,target,stem-from-affix-conds,two,stems-from-aff
whine,prime,stem-from-affix-conds,two,stems-from-aff
jog,prime,stem-from-affix-conds,two,stems-from-aff
tweet,prime,stem-from-affix-conds,two,stems-from-aff
ghost,prime,stem-from-affix-conds,two,stems-from-aff
swift,prime,stem-from-affix-conds,two,stems-from-aff
broad,prime,stem-from-affix-conds,two,stems-from-aff
obese,prime,stem-from-affix-conds,two,stems-from-aff
mobile,prime,stem-from-affix-conds,two,stems-from-aff
divine,prime,stem-from-affix-conds,two,stems-from-aff
acid,prime,stem-from-affix-conds,two,stems-from-aff
poet,prime,stem-from-affix-conds,two,stems-from-aff
titan,prime,stem-from-affix-conds,two,stems-from-aff
adore,prime,stem-from-affix-conds,two,stems-from-aff
note,prime,stem-from-affix-conds,two,stems-from-aff
argue,prime,stem-from-affix-conds,two,stems-from-aff
rest,prime,stem-from-affix-conds,two,stems-from-aff
time,prime,stem-from-affix-conds,two,stems-from-aff
pain,prime,stem-from-affix-conds,two,stems-from-aff
cool,prime,stem-from-affix-conds,two,stems-from-aff
deaf,prime,stem-from-affix-conds,two,stems-from-aff
sore,prime,stem-from-affix-conds,two,stems-from-aff
mind,prime,stem-from-affix-conds,two,stems-from-aff
hurt,prime,stem-from-affix-conds,two,stems-from-aff
bliss,prime,stem-from-affix-conds,two,stems-from-aff
plan,target,stem-from-affix-conds,two,stems-from-aff
freeze,target,stem-from-affix-conds,two,stems-from-aff
shoot,target,stem-from-affix-conds,two,stems-from-aff
plain,target,stem-from-affix-conds,two,stems-from-aff
proud,target,stem-from-affix-conds,two,stems-from-aff
secret,target,stem-from-affix-conds,two,stems-from-aff
serene,target,stem-from-affix-conds,two,stems-from-aff
civil,target,stem-from-affix-conds,two,stems-from-aff
agile,target,stem-from-affix-conds,two,stems-from-aff
ocean,target,stem-from-affix-conds,two,stems-from-aff
cube,target,stem-from-affix-conds,two,stems-from-aff
metal,target,stem-from-affix-conds,two,stems-from-aff
tax,target,stem-from-affix-conds,two,stems-from-aff
work,target,stem-from-affix-conds,two,stems-from-aff
size,target,stem-from-affix-conds,two,stems-from-aff
hope,target,stem-from-affix-conds,two,stems-from-aff
seam,target,stem-from-affix-conds,two,stems-from-aff
