"word","type","condition","experiment","grouping","Length","Freq_HAL","Log_Freq_HAL","MorphSp","MorphPr","NMorph","POS"
"amuse","target","stem-from-suffixed-prime","two","stem-standard",5,644,6.468,NA,"{@.mj""uz}","1","VB"
"amusement","prime","stem-from-suffixed-prime","two","stem-standard",9,2171,7.683,NA,"{@.mj""uz}.>m@nt>","2","NN"
"angel","target","stem-from-suffixed-prime","two","stem-standard",5,18184,9.808,NA,"{""en.dZ@l}","1","NN"
"angelic","prime","stem-from-suffixed-prime","two","stem-standard",7,2815,7.943,NA,"{an.dZ""El$}.>Ik>","2","JJ"
"anger","target","semantic-2","two","stems-from-aff",5,8608,9.06,NA,"{""aN.g@`}","1","NN|VB"
"announced","prime","orthographic","one","two",9,21360,9.969,NA,"{@-.-n""aUns}>t>","3","VB|JJ"
"annoying","target","orthographic","one","two",8,13329,9.498,NA,"{@.n""OI}.>IN>","2","JJ|VB|NN"
"apart","target","nw-w_foil","two","stem-standard",5,22038,10.001,NA,"{@.p""Art}","1","RB"
"apparent","target","semantic","one","two",8,10467,9.256,NA,"{@-.-p""a.r--@nt}","3","JJ"
"applaud","target","identity","one","one",7,1303,7.172,NA,"{@.pl""Od}","1","VB"
"appointed","prime","orthographic","one","two",9,4848,8.486,NA,"{@.p""OIn4}.>@d>","2","VB"
"approval","target","orthographic","one","two",8,10239,9.234,NA,"{@.pr""uv}.>l=>","2","NN"
"approve","target","stem-from-prefixed-prime","two","stem-standard",7,4965,8.51,NA,"{@.pr""uv}","1","VB"
"arguable","prime","suffix","one","one",8,504,6.223,NA,"{""Ar.gju}>@.bl=>","2","JJ"
"argue","prime","stem-from-affix-conds","two","stems-from-aff",5,20857,9.945,NA,"{""Ar.gju}","1","VB"
"aside","target","nw-w_foil","two","stem-standard",5,17413,9.765,NA,"{@.s""aId}","1","RB"
"astrology","prime","semantic","one","two",9,3214,8.075,NA,"{@.str""A-.-l@.dZ--i}","3","NN"
"astronomy","target","semantic","one","two",9,5990,8.698,NA,"{@.str""A-.-n@.m--i}","3","NN"
"aunt","prime","semantic-2","two","stems-from-aff",4,2845,7.953,NA,"{""ant}","1","NN"
"balcony","target","identity","one","one",7,1083,6.987,NA,"{b""al.k@.ni}","1","NN"
"beach","target","identity","two","stem-standard",5,26666,10.191,NA,"{b""itS}","1","NN"
"bearable","prime","suffixed-stem","one","one",8,335,5.814,NA,"{b""Er}.>@.bl=>","2","JJ"
"bearer","target","suffixed-stem","one","one",6,905,6.808,NA,"{b""Er}.>@`>","2","NN"
"birth","target","stem-from-prefixed-prime","two","stem-standard",5,23367,10.059,NA,"{b""3`T}","1","NN"
"bitter","target","stem-from-suffixed-prime","two","stem-standard",6,5910,8.684,NA,"{b""I.4@`}","1","JJ"
"bitterness","prime","stem-from-suffixed-prime","two","stem-standard",10,1210,7.098,NA,"{b""I.4@`}.>n@s>","2","NN"
"black","target","stem-from-suffixed-prime","two","stem-standard",5,160756,11.988,NA,"{bl""ak}","1","JJ|NN|VB"
"blackness","prime","stem-from-suffixed-prime","two","stem-standard",9,487,6.188,NA,"{bl""ak}.>n@s>","2","NN"
"blight","target","nw-w_foil","one","one",6,1971,7.586,NA,"{bl""aIt}","1","NN|VB"
"blindly","prime","suffixed-stem","one","one",7,2137,7.667,NA,"{bl""aInd}.>li>","2","RB"
"blindness","target","suffixed-stem","one","one",9,1337,7.198,NA,"{bl""aInd}.>n@s>","2","NN"
"bliss","prime","stem-from-affix-conds","two","stems-from-aff",5,2218,7.704,NA,"{bl""Is}","1","NN"
"blissful","prime","suffix","one","one",8,423,6.047,NA,"{bl""Is}.>fl=>","2","JJ"
"blossom","target","identity","one","one",7,890,6.791,NA,"{bl""A.sm=}","1","NN|VB"
